Scenario,MonthIndex,ChargerType,Power_kW,CapEx,MonthlyRevenue,MonthlyOPEX,MonthlyProfit,SessionsPerMonth,ElectricityCost,LandLeaseCost,MaintenanceCost,StaffCost,CRMSoftwareCost,MarketingCost,CumulativeProfit
Optimistic,17,AC Slow,3.3,65000,9100,53240,-44140,130,6240,15000,1000,20000,3000,8000,-750380
Optimistic,17,DC Fast,60.0,700000,140400,176520,-36120,234,65520,40000,8000,50000,3000,10000,-614040
Optimistic,17,Ultra-Fast DC,150.0,3100000,260000,314000,-54000,325,104000,100000,15000,75000,5000,15000,-918000
Optimistic,18,AC Slow,3.3,65000,9100,53240,-44140,130,6240,15000,1000,20000,3000,8000,-794520
Optimistic,18,DC Fast,60.0,700000,140400,176520,-36120,234,65520,40000,8000,50000,3000,10000,-650160
Optimistic,18,Ultra-Fast DC,150.0,3100000,260000,314000,-54000,325,104000,100000,15000,75000,5000,15000,-972000
Optimistic,19,AC Slow,3.3,65000,9100,53240,-44140,130,6240,15000,1000,20000,3000,8000,-838660
Optimistic,19,DC Fast,60.0,700000,140400,176520,-36120,234,65520,40000,8000,50000,3000,10000,-686280
Optimistic,19,Ultra-Fast DC,150.0,3100000,260000,314000,-54000,325,104000,100000,15000,75000,5000,15000,-1026000
Optimistic,20,AC Slow,3.3,65000,9100,53240,-44140,130,6240,15000,1000,20000,3000,8000,-882800
Optimistic,20,DC Fast,60.0,700000,140400,176520,-36120,234,65520,40000,8000,50000,3000,10000,-722400
Optimistic,20,Ultra-Fast DC,150.0,3100000,260000,314000,-54000,325,104000,100000,15000,75000,5000,15000,-1080000
Optimistic,21,AC Slow,3.3,65000,9100,53240,-44140,130,6240,15000,1000,20000,3000,8000,-926940
Optimistic,21,DC Fast,60.0,700000,140400,176520,-36120,234,65520,40000,8000,50000,3000,10000,-758520
Optimistic,21,Ultra-Fast DC,150.0,3100000,260000,314000,-54000,325,104000,100000,15000,75000,5000,15000,-1134000
Optimistic,22,AC Slow,3.3,65000,9100,53240,-44140,130,6240,15000,1000,20000,3000,8000,-971080
Optimistic,22,DC Fast,60.0,700000,140400,176520,-36120,234,65520,40000,8000,50000,3000,10000,-794640
Optimistic,22,Ultra-Fast DC,150.0,3100000,260000,314000,-54000,325,104000,100000,15000,75000,5000,15000,-1188000
Optimistic,23,AC Slow,3.3,65000,9100,53240,-44140,130,6240,15000,1000,20000,3000,8000,-1015220
Optimistic,23,DC Fast,60.0,700000,140400,176520,-36120,234,65520,40000,8000,50000,3000,10000,-830760
Optimistic,23,Ultra-Fast DC,150.0,3100000,260000,314000,-54000,325,104000,100000,15000,75000,5000,15000,-1242000
Optimistic,24,AC Slow,3.3,65000,9100,53240,-44140,130,6240,15000,1000,20000,3000,8000,-1059360
Optimistic,24,DC Fast,60.0,700000,140400,176520,-36120,234,65520,40000,8000,50000,3000,10000,-866880
Optimistic,24,Ultra-Fast DC,150.0,3100000,260000,314000,-54000,325,104000,100000,15000,75000,5000,15000,-1296000
