Year,Month,ChargerType,Revenue_P10,Revenue_P50,Revenue_P90,Profit_P10,Profit_P50,Profit_P90
2026,1,AC Slow,5413.208346977199,6931.709552762398,8718.226850139647,-52958.93065809288,-44917.46994388338,-36784.600439976646
2026,1,DC Fast,83886.38199237389,107645.95824589048,133463.81162031755,-86618.7206243078,-53852.729828732685,-17957.412156004437
2026,1,Ultra-Fast DC,153891.85815384632,198382.83760629222,247263.62491121338,-153887.23280635444,-91160.99144945253,-26058.966182072163
2026,2,AC Slow,5431.881656207172,6924.5272239678925,8644.741399537785,-52682.8184806852,-44743.50028328764,-36521.81581460947
2026,2,DC Fast,82559.40628575483,106508.16285240499,133533.3339906873,-89200.58196326678,-54233.548836616865,-17421.40628670052
2026,2,Ultra-Fast DC,154436.80898010472,199700.08766216098,247547.59865784514,-151677.44820110666,-89042.24036622165,-24258.80356609794
2026,3,AC Slow,5394.769215406093,6988.538644707357,8711.96646883002,-53059.732494474934,-44787.198160054235,-36808.911407827894
2026,3,DC Fast,83713.94228440458,107079.93530430266,133058.58320751952,-88140.68616931538,-54106.15700290124,-18544.781378921623
2026,3,Ultra-Fast DC,153977.56168168108,197812.09090566612,246577.4944503151,-154112.92331112485,-91661.25800488143,-24798.58377104992
2026,4,AC Slow,5441.847478853399,6961.120772918966,8659.554293309002,-52983.1465015281,-44699.420734211686,-36700.305917106176
2026,4,DC Fast,83069.01477596158,106579.5098250913,134023.4849769148,-89780.47194653918,-54553.15306802523,-18079.057254458545
2026,4,Ultra-Fast DC,154677.40121949944,198952.91486852226,248260.84400491897,-152485.072813236,-90035.8268091374,-23479.192899655107
2026,5,AC Slow,5436.67342136201,6964.402772580512,8738.459440715184,-52648.46649139062,-44843.77764620958,-36476.99563790889
2026,5,DC Fast,84409.05699314701,107806.70204247162,133682.66900983875,-87820.25440344845,-53165.85460434295,-17661.162528406323
2026,5,Ultra-Fast DC,153230.8324314188,198476.02648521232,248227.9815889111,-154071.03305186308,-91185.92965885035,-24322.532287802533
2026,6,AC Slow,5484.222125934485,6958.96069443987,8661.575559033126,-53057.638356549585,-44844.493178735385,-36660.559765192724
2026,6,DC Fast,83699.39780508338,107031.40057331717,132451.27826047936,-88466.82351548919,-54384.588260631666,-18219.384286503817
2026,6,Ultra-Fast DC,155779.48841531266,198646.77702832283,248952.53440843293,-153025.15912053222,-89264.05943766025,-26144.75202309106
2026,7,AC Slow,5395.499023619008,6958.030718711226,8674.90215503587,-52906.675335683576,-44709.853042736904,-36683.709305374396
2026,7,DC Fast,83593.08318954625,107954.23562646954,133332.232547373,-88657.72953413811,-52941.879115669515,-18550.05884764711
2026,7,Ultra-Fast DC,154579.1521837354,199415.75013815943,247395.31554746773,-154169.26958244242,-90436.34218812914,-25141.892538684995
2026,8,AC Slow,5427.021436498767,6963.508315206545,8639.772877536836,-52886.463355552514,-44882.573755339254,-36552.334128896575
2026,8,DC Fast,83854.66796573253,107008.6972045524,133566.588932032,-87546.16818560538,-53673.87383940667,-17080.138872595806
2026,8,Ultra-Fast DC,154043.8160451,198299.45562831033,246509.23845978384,-154675.04967592875,-90880.05434409133,-25683.95532338939
2026,9,AC Slow,5411.005851367537,6959.705000161699,8657.283190986946,-52871.97756206302,-44985.985521151044,-36786.64703914012
2026,9,DC Fast,82796.60438933701,107217.11921722822,134165.61454952604,-88270.11801744036,-53845.507064157195,-17704.80048419554
2026,9,Ultra-Fast DC,154990.77308422432,199266.05645750195,247665.6756596478,-152151.3564030269,-89705.88796496252,-24365.03673857805
2026,10,AC Slow,5444.057127435137,6951.666788755178,8709.635426269178,-52970.01365815194,-44899.25103287636,-36615.81598014245
2026,10,DC Fast,83974.76759816674,107416.69571077045,133389.26330397077,-87561.02115323175,-53549.78465011307,-18326.610085054388
2026,10,Ultra-Fast DC,153780.18811796806,199129.01753326552,247227.34582882904,-152941.26561254848,-90876.27649118466,-25697.1123775151
2026,11,AC Slow,5428.377431988416,6950.805862960353,8623.321155504822,-52527.24931162281,-44628.611489388946,-36505.54508335175
2026,11,DC Fast,83919.30832646713,107520.02657305417,134322.31218811986,-88178.81554039833,-53206.82016514083,-16957.381942874264
2026,11,Ultra-Fast DC,154804.9013199053,198528.7133053309,247468.3662982142,-151654.55164856827,-91980.53566879708,-27216.972460091387
2026,12,AC Slow,5363.443429567416,6978.663720401298,8623.685118062978,-52941.64922481151,-44971.03041269886,-36468.780919237804
2026,12,DC Fast,83785.88635968884,107071.73518468687,132768.59336523328,-89080.16643787312,-54196.72323262573,-18475.622385649647
2026,12,Ultra-Fast DC,153875.57605403182,199246.06957444118,248064.65659132795,-155035.7618589058,-89807.60009722362,-23946.083914501396
